Publisher Name,Publisher Registry Id,Contacts (with valid data),Location Details (with valid data),Geographic Coordinates (with valid data),DAC Sectors (with valid data),Capital Spend (with valid data),Activity Documents (with valid data),Aid Type (with valid data),Recipient Language (with valid data),Result/ Indicator (with valid data),Average (with valid data),Contacts (with any data),Location Details (with any data),Geographic Coordinates (with any data),DAC Sectors (with any data),Capital Spend (with any data),Activity Documents (with any data),Aid Type (with any data),Recipient Language (with any data),Result/ Indicator (with any data),Average (with any data)
Administração de Infra-Estruturas de Águas e Saneamento,aias,0,0,0,100,0,100,0,0,100,33,0,0,0,100,0,100,0,0,100,33
ADRA Denmark,adra-dk,0,0,0,100,0,0,33,0,33,18,0,0,0,100,0,0,100,0,33,26
ADRA-UK,adrauk,33,0,0,33,0,33,100,33,0,26,33,0,0,33,0,33,100,33,0,26
ADS-Nyanza,ads-nyanza,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,0
Adventist Development and Relief Agency (ADRA Somalia),adrasom,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,0
"Adventist Development and Relief Agency, Nepal",adra_nepal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AECOM,aecom,0,0,0,100,0,0,2,76,0,20,0,0,0,100,0,0,2,76,0,20
Aeras,aeras,0,0,0,100,0,0,0,-,0,11,0,0,0,100,0,0,0,-,0,11
AFELT,afelt,0,0,0,100,0,0,0,-,0,11,0,0,0,100,0,0,0,-,0,11
AFEW International,afewinternational,0,0,0,100,0,0,100,0,80,31,0,0,0,100,0,0,100,0,80,31
Afghanaid,afghanaid,0,0,0,100,0,0,100,0,0,22,0,0,0,100,0,0,100,0,0,22
Afghanistan and Central Asian Association,acaa,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,0
Afghanistan Public Policy Research Organization (APPRO),appro-af,100,0,0,100,0,100,50,0,0,39,100,0,0,100,0,100,50,0,0,39
Africa Educational Trust,aet,0,0,0,67,0,33,100,0,0,22,0,0,0,100,0,33,100,0,0,26
Africalia,africalia,100,73,73,100,0,9,100,100,73,70,100,73,73,100,0,9,100,100,73,70
African Center for Economic Transformation (ACET),acet,0,0,0,98,0,33,0,100,0,26,0,0,0,98,0,33,0,100,0,26
African Centre for Global Health and Social Transformation,achest,100,0,0,100,0,86,100,100,86,64,100,0,0,100,0,86,100,100,86,64
African Development Bank,afdb,100,100,100,100,100,100,0,78,100,86,100,100,100,100,100,100,0,78,100,86
African Initiatives,ai_1064413,100,0,0,100,0,100,0,-,0,33,100,0,0,100,0,100,0,-,0,33
African Parks Network,african_parks,0,7,7,100,0,100,0,50,0,29,0,7,7,100,0,100,0,50,0,29
African Population and Health Research Center,aphrc,0,0,0,100,0,0,0,100,0,22,0,0,0,100,0,0,0,100,0,22
African Revival,africanrevival,0,0,0,0,0,0,0,100,0,11,0,0,0,0,0,0,0,100,0,11
African Women's Development Fund,awdf,7,0,0,67,0,0,0,-,20,10,7,0,0,67,0,0,0,-,20,10
Afrikagrupperna Sweden,afrikagrupperna,0,0,0,98,0,0,100,0,100,33,0,0,0,100,0,0,100,0,100,33
AfriKids,afrikids,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,0
Aga Khan Foundation (United Kingdom),akfuk73,0,0,0,100,0,0,0,0,0,11,0,0,0,100,0,0,0,0,0,11
Aga Khan Foundation Afghanistan,akf_afghanistan,0,0,0,100,0,0,0,0,0,11,0,0,0,100,0,0,0,0,0,11
AgDevCo,agdevco,0,0,0,0,0,0,0,79,0,9,0,0,0,0,0,0,0,79,0,9
Agence Française de Développement,afd,0,58,57,100,58,58,58,50,0,49,0,58,58,100,58,58,58,50,0,49
Agence Nationale d'Approvisionnement en Eau Potable en Milieu Rural du Benin,anaepmr_benin,100,100,100,100,0,100,100,100,100,89,100,100,100,100,0,100,100,100,100,89
Agency for Cooperation and Research in Development (ACORD),acord,100,0,0,100,0,50,100,100,50,56,100,0,0,100,0,50,100,100,50,56
AgResults Initiative,agresults,0,0,0,100,0,0,0,83,0,20,0,0,0,100,0,0,0,83,0,20
AgriProFocus,agriprofocus,0,100,100,0,0,100,100,-,67,52,0,100,100,0,0,100,100,-,67,52
Agulhas Applied Knowledge,aak,100,100,100,100,0,100,100,100,0,78,100,100,100,100,0,100,100,100,0,78
Agência de Desenvolvimento do Vale do Zambeze,agencia_do_zambeze,0,0,0,100,0,100,0,100,100,44,0,0,0,100,0,100,0,100,100,44
AICS - Agenzia Italiana per la Cooperazione allo Sviluppo / Italian Agency for Cooperation and Development,aics,100,0,0,52,0,11,54,17,0,26,100,0,0,53,0,11,54,17,0,26
AidData,aiddata,0,73,73,74,0,0,0,16,0,26,0,73,73,100,0,0,0,16,0,29
Aidsfonds - Soa Aids Nederland,nl-kvk-41207989,100,46,0,100,0,2,100,52,23,47,100,46,0,100,0,2,100,52,23,47
AIDSPAN,aidspan,0,0,0,100,0,0,0,100,0,22,0,0,0,100,0,0,0,100,0,22
Ajuda de Desenvolvimento de Povo para Povo (ADPP),adpp,0,0,0,100,0,0,100,0,0,22,0,0,0,100,0,0,100,0,0,22
Aktis Strategy Ltd,aktis,0,0,0,100,0,0,0,67,0,19,0,0,0,100,0,0,0,67,0,19
Akvo Foundation,akvo,100,100,100,100,0,100,100,42,100,82,100,100,100,100,0,100,100,42,100,82
Alcis Holdings Limited,alcis,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,0
Alfalit,alfalit,0,0,0,0,0,0,100,-,0,11,0,0,0,0,0,100,100,-,0,22
All We Can (formerly Methodist Relief and Development Fund),allwecan,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,0
Alliance of Religions and Conservation,alliance_of_religions_and_conservation,0,0,0,100,0,0,0,-,0,11,0,0,0,100,0,0,0,-,0,11
American Friends Service Committee,afsc,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,0
Amnesty International The Netherlands,amnesty,100,89,0,0,0,0,100,44,74,45,100,89,0,0,0,0,100,44,74,45
Amnesty International UK Section Charitable Trust,aiuk,100,0,0,100,0,0,0,-,0,22,100,0,0,100,0,0,0,-,0,22
Amref Flying Doctors,amrefnl,73,35,31,100,0,8,100,77,10,48,73,35,31,100,0,8,100,77,10,48
Amref Health Africa - UK,amrefha,38,94,94,100,0,6,100,93,0,58,38,94,94,100,0,6,100,93,0,58
Amref Health Africa Headquarters,amrefhq,0,0,0,100,0,100,100,100,100,56,0,0,0,100,0,100,100,100,100,56
Amref Health Africa in Ethiopia,amrefeth,50,0,0,100,0,0,100,0,50,33,50,0,0,100,0,0,100,0,50,33
Amref Health Africa in Kenya,amrefkenya,33,0,0,100,0,0,100,100,100,48,33,0,0,100,0,0,100,100,100,48
Amref Health Africa in Tanzania,amreftz,0,0,0,100,0,0,100,100,50,39,0,0,0,100,0,0,100,100,50,39
Amref Health Africa in Uganda,amrefug,0,0,0,100,0,0,100,100,100,44,0,0,0,100,0,0,100,100,100,44
Amref Health Africa Malawi,amrefmw,67,0,0,100,0,0,100,100,100,52,67,0,0,100,0,0,100,100,100,52
Ananda Marga Universal Relief Team (AMURT) Africa,amurt_kenya,0,0,0,100,0,0,0,100,0,22,0,0,0,100,0,0,0,100,0,22
ANDA,anda,0,0,0,0,0,0,100,-,0,11,0,0,0,0,0,100,100,-,0,22
Anti-Slavery International,asil,100,67,67,100,0,67,100,0,0,56,100,67,67,100,0,67,100,0,0,56
APPRO-Europe,appro-eu,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,0
APT Action on Poverty,apt,100,0,0,50,0,0,100,100,0,39,100,0,0,50,0,0,100,100,0,39
Aqua for All,aqua4all,54,100,46,46,0,46,0,32,41,41,54,100,46,98,0,100,0,32,41,52
Arab foundation for freedoms and equality,afemena,100,0,0,100,0,33,100,-,67,44,100,0,0,100,0,33,100,-,67,44
ARK (Absolute Return for Kids),ark,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,0
Article19,art19,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,0
Ashoka East Africa,ashoka,100,0,0,100,0,0,100,-,0,33,100,0,0,100,0,0,100,-,0,33
Asian Development Bank,asdb,100,100,100,100,100,100,100,29,100,92,100,100,100,100,100,100,100,29,100,92
Association Centrafricaine de Traduction de la Bible et Alphabetisation,acatba,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Association for Cultural Technical and Educational Cooperation (ACTEC),actec,100,80,80,100,0,7,100,46,80,66,100,80,80,100,0,7,100,46,80,66
Association for Progressive Communication,apc,100,0,0,100,0,0,100,-,50,39,100,0,0,100,0,0,100,-,50,39
Association for Reproductive and Family Health,arfh,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,0
Association for Women's Rights in Development (AWID),awid,0,0,0,100,0,0,100,-,31,26,0,0,0,100,0,0,100,-,31,26
Association of Commonwealth Universities,acu,0,0,0,100,0,0,0,-,0,11,0,0,0,100,0,0,0,-,0,11
Association pour la Promotion de l'Education et de la Formation à l'Etranger,apefe,88,82,82,100,0,0,100,87,82,69,88,82,82,100,0,0,100,87,82,69
Atos IT Services Ltd,atosuk,0,0,0,100,0,100,0,33,0,26,0,0,0,100,0,100,0,33,0,26
Atradius Dutch State Business,adsb,0,0,0,97,0,0,100,39,0,26,0,0,0,97,0,0,100,39,0,26
Auschwitz Institute for the Prevention of Genocide and Mass Atrocities,aipr,25,0,0,100,0,25,100,0,0,28,25,0,0,100,0,25,100,0,0,28
Australia - Department of  Foreign Affairs and Trade,ausgov,100,0,0,100,100,11,100,44,0,51,100,0,0,100,100,11,100,44,0,51
Auto-Développement Afrique (ADA),ada,100,33,33,100,0,33,100,100,33,59,100,33,33,100,0,33,100,100,33,59
Autre Terre asbl,a-t,71,71,71,100,0,86,100,80,71,72,71,71,71,100,0,86,100,80,71,72
Avanti Communications Plc,ava_admin,0,0,0,100,0,0,100,100,0,33,0,0,0,100,0,0,100,100,0,33
Avocats Sans Frontières,asf,100,71,57,100,0,14,100,40,71,61,100,71,71,100,0,14,100,40,71,63
AVSI FOUNDATION IN UGANDA,avsi_uganda,100,0,0,100,0,100,100,100,100,67,100,0,0,100,0,100,100,100,100,67
AVT-L Association of Victims of Terrorism Lebanon,avt-l,0,0,0,100,0,4,4,0,0,12,0,0,0,100,0,4,4,0,0,12
AWEPA,awepa,100,0,0,100,0,40,100,38,90,52,100,0,0,100,0,40,100,38,90,52
Babawatoto Centre For Children and Youth,bawacecy-tz,0,0,0,100,0,0,0,100,0,22,0,0,0,100,0,0,0,100,0,22
Backward Society Education (BASE),base_22,0,0,0,0,0,0,0,25,0,3,0,0,0,0,0,0,0,25,0,3
Balloon Ventures Foundation,bvf,0,100,0,100,0,100,100,100,0,56,0,100,0,100,0,100,100,100,0,56
Bangladesh Nari Progati Sangha,bnps,100,0,0,100,0,0,100,0,100,44,100,0,0,100,0,0,100,0,100,44
BasicNeeds,basicneeds,0,0,0,50,0,0,100,80,0,26,0,0,0,100,0,0,100,80,0,31
Baylor College of Medicine Children's Foundation Malawi,bcm-cf,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,0
BBC Media Action,bbcmediaaction,100,0,0,100,0,0,0,45,0,27,100,0,0,100,0,0,0,45,0,27
BDO LLP,bdo,100,100,50,100,0,0,100,50,0,56,100,100,50,100,0,0,100,50,0,56
Bees Abroad UK,bauk,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,0
Bees for Development Trust,beesfordevelopment,0,0,0,100,0,0,0,-,0,11,0,0,0,100,0,0,0,-,0,11
Belgian development agency (Enabel),enabel,100,100,99,100,0,39,100,72,0,68,100,100,100,100,0,39,100,72,0,68
Belgian Development Cooperation,be-dgd,100,17,17,100,0,49,97,23,0,45,100,17,17,100,0,69,97,23,0,47
Benelux Afro Center,bac,100,60,60,100,0,20,100,100,60,67,100,60,60,100,0,20,100,100,60,67
Berytech Foundation,berytech,0,0,0,100,95,0,0,0,5,22,0,0,0,100,95,0,0,0,5,22
Beweging voor Internationale Solidariteit - Mouvement pour la Solidarité Internationale,bismsi,67,0,0,100,0,33,100,-,33,37,67,0,0,100,0,33,100,-,33,37
Bibliothèques Sans Frontières,bsf1,0,0,0,100,0,100,0,100,0,33,0,0,0,100,0,100,0,100,0,33
Bill & Melinda Gates Foundation,bmgf,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,0
Bioclimate Research and Development,bioclimate,0,0,0,33,0,0,0,33,0,7,0,0,0,33,0,0,0,33,0,7
Blue Ventures Conservation,blueventures,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,0
Bond,bond,100,100,0,100,0,0,100,100,0,56,100,100,0,100,0,0,100,100,0,56
BoP Innovation Center,bopinc,100,0,0,0,0,0,0,-,0,11,100,0,0,0,0,0,0,-,0,11
BOS+ tropen,bos_plus_tropen,100,80,80,100,0,7,100,31,87,65,100,80,80,100,0,7,100,31,87,65
Boston University,bu-carbx-admin,0,0,0,100,0,0,0,80,0,20,0,0,0,100,0,0,0,80,0,20
Both ENDS,bothends,42,0,0,100,0,8,100,0,92,38,42,0,0,100,0,8,100,0,92,38
BRAC,brac_admin2,0,0,0,50,0,50,100,0,100,33,0,0,0,50,0,50,100,0,100,33
BRAC International,bracintl,0,0,0,100,0,0,0,100,0,22,0,0,0,100,0,0,0,100,0,22
BRAC University,bu,0,0,0,100,0,100,0,0,100,33,0,0,0,100,0,100,0,0,100,33
Brigham and Women's Hospital,bwh,100,0,0,100,0,100,100,-,0,44,100,0,0,100,0,100,100,-,0,44
British & Irish Agencies Afghanistan Group,baag,0,0,0,100,0,100,0,-,0,22,0,0,0,100,0,100,0,-,0,22
British Asian Trust,b_a_t,100,0,0,100,0,0,0,100,0,33,100,0,0,100,0,0,0,100,0,33
British Council,britishcouncil,100,38,38,100,0,0,100,50,0,47,100,38,38,100,0,0,100,50,0,47
British Red Cross,gb-chc-220949,0,0,0,62,0,0,100,0,0,18,0,0,0,62,0,0,100,0,0,18
Broederlijk Delen,bd,100,88,88,100,0,6,100,93,88,74,100,88,88,100,0,6,100,93,88,74
Brujula Comunicaciones Estrategicas SAS,brujula,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,0
Brulocalis,brulocalis,67,50,50,100,0,17,100,67,50,56,67,50,50,100,0,17,100,67,50,56
BSR,bsr_admin,0,0,0,100,0,0,100,100,0,33,0,0,0,100,0,0,100,100,0,33
Bucks Community NGO,bucksfarm,0,0,0,100,0,0,0,-,0,11,0,0,0,100,0,0,0,-,0,11
Build Africa,buildafrica,0,0,0,100,0,0,0,100,0,22,0,0,0,100,0,0,0,100,0,22
Burns Violence Survivors - Nepal,bvs-nepal,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,0
Business in the Community,bitc,100,0,0,100,0,0,0,-,0,22,100,0,0,100,0,0,0,-,0,22
C40 Cities Climate Leadership Group,c40cities,0,0,0,100,0,0,0,100,0,22,0,0,0,100,0,0,0,100,0,22
CABI,cabi,100,0,0,100,0,29,100,50,0,42,100,0,0,100,0,29,100,50,0,42
Camfed International,camfed,13,0,0,100,0,88,0,100,0,33,13,0,0,100,0,88,0,100,0,33
Canada - Global Affairs Canada | Affaires mondiales Canada,gac-amc,100,83,20,94,13,100,100,46,96,72,100,83,83,100,13,100,100,46,96,80
Canada - International Development Research Centre/Centre de recherches pour le développement international,idrccrdi,100,0,0,100,0,0,100,57,0,40,100,0,0,100,0,0,100,57,0,40
Canada Department of Finance / Ministère des Finances Canada,finance_canada,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,0
Canon Collins Trust,canoncollinstrust,100,0,0,100,0,100,100,100,0,56,100,0,0,100,0,100,100,100,0,56
Carbon Trust Advisory Ltd,carbontrustadvisory,100,0,0,100,0,100,100,-,0,44,100,0,0,100,0,100,100,-,0,44
Cardno Emerging Markets,cardnoem,20,0,0,100,0,20,20,75,0,26,20,0,0,100,0,20,20,75,0,26
CARE BENIN/TOGO,carebenintogo,100,0,0,100,0,0,100,100,100,56,100,0,0,100,0,0,100,100,100,56
CARE Danmark Fonden for Frivillig Ulandsbistand,12921047,0,0,0,100,0,0,0,100,0,22,0,0,0,100,0,0,0,100,0,22
CARE International Afghanistan,ciafg,100,0,0,0,0,0,0,0,0,11,100,0,0,0,0,0,0,0,0,11
CARE international foundation Switzerland in Sudan,cis,0,100,100,100,0,0,0,100,100,56,0,100,100,100,0,0,0,100,100,56
CARE International in Zimbabwe,ciz,100,0,0,0,0,0,0,100,0,22,100,0,0,0,0,0,0,100,0,22
CARE International UK,ciuk,92,0,0,0,0,0,0,47,0,15,92,0,0,0,0,0,0,47,0,15
CARE Nederland,carenederland,65,0,0,100,0,6,100,25,74,41,65,0,0,100,0,6,100,25,74,41
CARE Nepal,cnepal,100,0,0,0,0,0,0,0,0,11,100,0,0,0,0,0,0,0,0,11
CARE SOMALIA,csom1,100,0,0,100,0,0,0,0,0,22,100,0,0,100,0,0,0,0,0,22
Carers Worldwide,cww,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,0
Caribbean Development Bank (CDB),caribank,8,0,0,85,0,0,0,100,0,21,8,0,0,85,0,0,0,100,0,21
Caritas Denmark,caritas_denmark,100,3,0,100,0,0,100,46,0,39,100,3,0,100,0,0,100,46,0,39
Caritas Finland,caritasfin,0,0,0,100,0,0,100,-,0,22,0,0,0,100,0,0,100,-,0,22
Caritas International (Belgium),cibe,100,80,80,100,0,90,100,88,80,80,100,80,80,100,0,90,100,88,80,80
Caritas Serbia,caritas_serbia,50,0,0,0,0,0,100,-,0,17,50,0,0,100,0,0,100,-,0,28
Catholic Agency For Overseas Development (CAFOD),cafod,100,0,0,100,0,2,100,45,0,39,100,0,0,100,0,2,100,45,0,39
Catholic Relief Services,crs,100,0,0,100,0,20,100,33,0,39,100,0,0,100,0,20,100,33,0,39
CDA Collaborative Learning Projects,cda,100,0,0,100,0,25,25,100,0,39,100,0,0,100,0,25,25,100,0,39
CDAC Network,cdacnetwork,0,0,0,100,0,100,0,0,0,22,0,0,0,100,0,100,0,0,0,22
CDC Group plc,cdc,100,0,0,100,0,0,100,77,0,42,100,0,0,100,0,0,100,77,0,42
Cecily's Fund,cecily,0,0,0,100,0,0,0,100,0,22,0,0,0,100,0,0,0,100,0,22
Center for Civilians in Conflict,civic_admin,71,0,0,100,0,43,100,0,43,40,71,0,0,100,0,43,100,0,43,40
Center for International Studies and Cooperation,ceci,0,0,0,100,0,0,0,-,0,11,0,0,0,100,0,0,0,-,0,11
Center for Research on Environment Health and Population Activities (CREHPA),crehpa,0,100,100,100,100,0,0,0,0,44,0,100,100,100,100,0,0,0,0,44
Centre For Citizens With Disabilities,ccdnigeria,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,0
Centre for Economic Policy Research,cepr,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,0
Centre for Environment Human Rights and Development,cehrd1,0,0,0,100,0,0,0,100,0,22,0,0,0,100,0,0,0,100,0,22
Centre for Humanitarian Dialogue (HD Centre),hdcentre,100,0,0,100,0,50,100,-,50,44,100,0,0,100,0,50,100,-,50,44
Centre for Indian Knowledge Systems,ciks,100,100,0,0,0,100,100,100,0,56,100,100,0,0,0,100,100,100,0,56
Centre for Legal Research and Development,clerd-prpi,0,0,0,100,0,40,0,100,0,27,0,0,0,100,0,40,0,100,0,27
Centre for the Study of Adolescence,csa-kenya,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,0
Centre International de Développement et de Recherche,cidr,0,0,0,100,0,100,100,100,100,56,0,0,0,100,0,100,100,100,100,56
Centre National de Coopération au Développement (CNCD-11.11.11),cncd,100,55,55,100,0,18,100,100,73,67,100,55,55,100,0,18,100,100,73,67
Centre Tricontinental - CETRI,ct-admin,100,0,0,100,0,20,100,100,60,53,100,0,0,100,0,20,100,100,60,53
Centro de Promocion y Defensa de los Derechos Sexuales y Reproductivos,promsex,0,0,0,100,0,0,100,100,0,33,0,0,0,100,0,0,100,100,0,33
Cesvi,cesvi,0,0,0,100,0,0,0,0,0,11,0,0,0,100,0,0,0,0,0,11
Chama cha Uzazi na Malezi Bora Tanzania (UMATI),umati,100,0,0,100,0,0,100,100,100,56,100,0,0,100,0,0,100,100,100,56
Chance for Childhood,chanceforchildhood,0,0,0,100,0,0,89,78,0,30,0,0,0,100,0,0,89,78,0,30
Charity Projects Ltd (Comic Relief),cprojects,6,0,0,100,0,0,100,0,0,23,6,0,0,100,0,0,100,0,0,23
Chaîne de l'Espoir Belgique / Keten van Hoop België / Chain of Hope Belgium,cdeb-kvhb_admin,100,50,50,100,0,25,100,100,25,61,100,50,50,100,0,25,100,100,25,61
CHEKA SANA TANZANIA,cst,0,0,0,100,0,0,0,100,0,22,0,0,0,100,0,0,0,100,0,22
Chemonics International Inc.,chemonics,100,0,0,100,0,0,100,0,0,33,100,0,0,100,0,0,100,0,0,33
Cheshire Services Uganda,csu,100,0,0,100,0,0,100,100,100,56,100,0,0,100,0,0,100,100,100,56
Child-to-Child,ctc,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,0
Child.org,child-dot_org,0,0,0,100,0,100,0,100,0,33,0,0,0,100,0,100,0,100,0,33
ChildFund International,childfund,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,0
ChildHope UK,childhopeuk,75,75,75,75,0,50,100,33,0,54,75,75,75,75,0,50,100,33,0,54
Children in Crisis,cic,100,0,0,100,0,100,0,100,0,44,100,0,0,100,0,100,0,100,0,44
Children in Crossfire,cicni,100,0,0,0,0,0,0,100,0,22,100,0,0,0,0,0,0,100,0,22
CHOICE for Youth and Sexuality,cfyas,92,0,0,100,0,62,100,45,100,55,92,0,0,100,0,62,100,45,100,55
Christian Aid,caid,100,0,0,0,0,0,100,48,0,28,100,0,0,0,0,0,100,48,0,28
Christian Aid Ireland,caid_ireland,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,0
Christian Blind Mission (UK) Ltd.,cbm,0,0,0,83,0,0,0,80,67,26,0,0,0,83,0,0,0,80,67,26
Christian Engineers in Development,ced,0,0,0,100,0,0,100,-,0,22,0,0,0,100,0,0,100,-,0,22
CIFAL Scotland,cifal,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,0
CINI,cini_jhk,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,0
CISU,cisu,0,0,0,100,0,0,33,0,0,15,0,0,0,100,0,0,33,0,0,15
CIVICUS World Alliance for Citizen Participation,civicus,100,0,0,100,0,100,100,100,100,67,100,0,0,100,0,100,100,100,100,67
CLASP,clasp,0,0,0,33,0,0,100,-,0,15,0,0,0,33,0,0,100,-,0,15
Clean Clothes Campaign,ccc,0,0,0,100,0,0,100,-,67,30,0,0,0,100,0,0,100,-,67,30
ClientEarth,clientearth-1,0,0,0,100,0,0,0,-,0,11,0,0,0,100,0,0,0,-,0,11
Climate Investment Funds,cif,100,0,0,0,0,0,100,24,0,25,100,0,0,0,0,0,100,24,0,25
Climate Policy Initiative,cpi,0,0,0,50,0,50,0,0,0,11,0,0,0,50,0,50,0,0,0,11
